Unnamed: 0,album_name
0,Comedy
1,Ghost (Acoustic)
2,To Begin Again
3,Crazy Rich Asians (Original Motion Picture Soundtrack)
4,Hold On
5,Days I Will Remember
6,Is There Anybody Out There?
7,We Sing. We Dance. We Steal Things.
8,We Sing. We Dance. We Steal Things.
9,Hunger
10,Episode
11,Love Is a Four Letter Word
12,Solo
13,Bad Liar
14,Hold On (Remix)
15,The Boy Who Never
16,ily (i love you baby)
17,At My Worst
18,We Sing. We Dance. We Steal Things.
19,"Cover Sessions, Vol. 4"
20,We Sing. We Dance. We Steal Things.
21,"Cover Sessions, Vol. 3"
22,Is There Anybody Out There? - Track by Track Commentary
23,Coffee Moment
24,Human - Best Adult Pop Tunes
25,Mellow Adult Pop
26,Holly Jolly Christmas
27,Feeling Good - Adult Pop Favorites
28,Christmas Time
29,Perfect Christmas Hits
30,Merry Christmas
31,Christmas Music - Holiday Hits
32,Christmas Country Songs 2022
33,Human - Best Adult Pop Tunes
34,Feeling Good - Adult Pop Favorites
35,Mellow Bars R'n'B
36,Chill Christmas Dinner
37,rainy day indie
38,Coffee Moment
39,sadsadchristmas
40,Mega Hits Autumn/Fall 2022
41,Mellow Adult Pop
42,Country Car Hits
43,Country Road Songs
44,Finest Country
45,Easy Country
46,Cozy Country
47,Good Times Country
48,Laidback Country
49,Chillin' It - Mellow Day Country
50,Trampoline (Acoustic)
51,Documentary
52,Black Bear
53,The Bedroom Demos
54,So Far Away (Acoustic)
55,Black Bear
56,Build It Better
57,Sleepwalking in the Rain
58,Little Voice
59,What's Left of You
60,Pano
61,The Daylight EP
62,Montage Of Heck: The Home Recordings
63,"Cover Sessions, Vol. 3"
64,Covers
65,Midnight Waves
66,Making All Things New
67,What's Inside: Songs from Waitress
68,In My Veins (Feat. Erin Mccarley)
69,Under Covers
70,Whatever It Takes
71,America Town
72,Dive Deep
73,You're Still The One
74,It Doesn't Have To Make Sense
75,Love Is a Four Letter Word
76,When the Morning Comes
77,"Eat, Pray, Love"
78,Good Light
79,Know.
80,Mellow Adult Pop
81,Break Up Songs
82,Into The Wild (Music For The Motion Picture)
83,u don't deserve me
84,Coffee Moment
85,Into The Wild (Music For The Motion Picture)
86,The Blessed Unrest
87,Slow Christmas Songs 2022
88,Lonely Christmas 2022
89,Bookmarks
90,Slow Christmas Songs 2022
91,Alternative Christmas 2022
92,Alternative Christmas 2022
93,Acoustic Christmas Campfire
94,Lonely Christmas 2022
95,Chill Christmas Dinner
96,sadsadchristmas
97,Christmas Country Songs 2022
98,Del gusto de mamá
99,OO's Music Grandi Successi
100,言ノ葉
101,Somebody Else (Acoustic)
102,Black Bear (Hushed)
103,"Cover Sessions, Vol. 3"
104,Stand by Me
105,Dear Happy
106,chouchou
107,You’re Beautiful (Acoustic)
108,Hikare Inochi
109,Songs From Nashville
110,"Cover Sessions, Vol. 6"
111,Dive Deep (Hushed)
112,When the Party's over (Acoustic Piano)
113,All The Stars and Boulevards
114,Living in the Shadows
115,"Cover Sessions, Vol. 4"
116,death bed (coffee for your head)
117,You Are My Sunshine
118,I Won't Give Up
119,I Was Born To Love You
120,Life Sucks Playlist
121,Hurricane Glass
